2023-03-17 16:54:19,763 INFO    MainThread:7467 [wandb_setup.py:_flush():76] Configure stats pid to 7467
2023-03-17 16:54:19,764 INFO    MainThread:7467 [wandb_setup.py:_flush():76] Loading settings from /home/bruno/.config/wandb/settings
2023-03-17 16:54:19,764 INFO    MainThread:7467 [wandb_setup.py:_flush():76] Loading settings from /home/bruno/Documents/Firefighter_RL/Ema_envs/wandb/settings
2023-03-17 16:54:19,764 INFO    MainThread:7467 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-17 16:54:19,765 INFO    MainThread:7467 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-17 16:54:19,765 INFO    MainThread:7467 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-17 16:54:19,765 INFO    MainThread:7467 [wandb_init.py:_log_setup():506] Logging user logs to /home/bruno/Documents/Firefighter_RL/Ema_envs/wandb/run-20230317_165419-w7yca8zf/logs/debug.log
2023-03-17 16:54:19,766 INFO    MainThread:7467 [wandb_init.py:_log_setup():507] Logging internal logs to /home/bruno/Documents/Firefighter_RL/Ema_envs/wandb/run-20230317_165419-w7yca8zf/logs/debug-internal.log
2023-03-17 16:54:19,766 INFO    MainThread:7467 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fedf82bc220>
2023-03-17 16:54:19,768 INFO    MainThread:7467 [wandb_init.py:init():546] calling init triggers
2023-03-17 16:54:19,769 INFO    MainThread:7467 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2023-03-17 16:54:19,769 INFO    MainThread:7467 [wandb_init.py:init():602] starting backend
2023-03-17 16:54:19,769 INFO    MainThread:7467 [wandb_init.py:init():606] setting up manager
2023-03-17 16:54:19,776 INFO    MainThread:7467 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-17 16:54:19,782 INFO    MainThread:7467 [wandb_init.py:init():613] backend started and connected
2023-03-17 16:54:19,802 INFO    MainThread:7467 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-03-17 16:54:19,803 INFO    MainThread:7467 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-17 16:54:19,803 INFO    MainThread:7467 [wandb_init.py:init():701] updated telemetry
2023-03-17 16:54:19,810 INFO    MainThread:7467 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-17 16:54:20,355 INFO    MainThread:7467 [wandb_run.py:_on_init():2133] communicating current version
2023-03-17 16:54:20,584 INFO    MainThread:7467 [wandb_run.py:_on_init():2142] got version response 
2023-03-17 16:54:20,584 INFO    MainThread:7467 [wandb_init.py:init():789] starting run threads in backend
2023-03-17 16:54:20,643 INFO    MainThread:7467 [wandb_run.py:_console_start():2114] atexit reg
2023-03-17 16:54:20,643 INFO    MainThread:7467 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-17 16:54:20,643 INFO    MainThread:7467 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-17 16:54:20,643 INFO    MainThread:7467 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-17 16:54:20,644 INFO    MainThread:7467 [wandb_init.py:init():831] run started, returning control to user process
2023-03-17 16:54:20,645 INFO    MainThread:7467 [wandb_run.py:_finish():1854] finishing run brunogupa/my-awesome-project/w7yca8zf
2023-03-17 16:54:20,645 INFO    MainThread:7467 [jupyter.py:save_history():445] not saving jupyter history
2023-03-17 16:54:20,645 INFO    MainThread:7467 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-17 16:54:20,645 INFO    MainThread:7467 [wandb_init.py:_jupyter_teardown():434] cleaning up jupyter logic
2023-03-17 16:54:20,645 INFO    MainThread:7467 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-17 16:54:20,645 INFO    MainThread:7467 [wandb_run.py:_restore():2066] restore
2023-03-17 16:54:20,645 INFO    MainThread:7467 [wandb_run.py:_restore():2072] restore done
2023-03-17 16:54:23,676 INFO    MainThread:7467 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-03-17 16:54:23,676 INFO    MainThread:7467 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-03-17 16:54:23,679 INFO    MainThread:7467 [wandb_run.py:_footer_sync_info():3380] logging synced files
