Using cuda device
Logging to runs/p7f343fa/PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 125      |
|    ep_rew_mean     | 0.222    |
| time/              |          |
|    fps             | 4422     |
|    iterations      | 1        |
|    time_elapsed    | 7        |
|    total_timesteps | 32768    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 127          |
|    ep_rew_mean          | 0.207        |
| time/                   |              |
|    fps                  | 1639         |
|    iterations           | 2            |
|    time_elapsed         | 39           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0133647835 |
|    clip_fraction        | 0.125        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.88        |
|    explained_variance   | 0.558        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0633      |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0144      |
|    value_loss           | 0.00857      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 130         |
|    ep_rew_mean          | 0.173       |
| time/                   |             |
|    fps                  | 1370        |
|    iterations           | 3           |
|    time_elapsed         | 71          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.013187562 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.87       |
|    explained_variance   | 0.724       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0347     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0185     |
|    value_loss           | 0.00266     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 126        |
|    ep_rew_mean          | 0.193      |
| time/                   |            |
|    fps                  | 1277       |
|    iterations           | 4          |
|    time_elapsed         | 102        |
|    total_timesteps      | 131072     |
| train/                  |            |
|    approx_kl            | 0.01380342 |
|    clip_fraction        | 0.155      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.85      |
|    explained_variance   | 0.77       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0473    |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0198    |
|    value_loss           | 0.001      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 127         |
|    ep_rew_mean          | 0.193       |
| time/                   |             |
|    fps                  | 1213        |
|    iterations           | 5           |
|    time_elapsed         | 135         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.014866929 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.755       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0275     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0208     |
|    value_loss           | 0.0006      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 127         |
|    ep_rew_mean          | 0.2         |
| time/                   |             |
|    fps                  | 1177        |
|    iterations           | 6           |
|    time_elapsed         | 166         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.015478383 |
|    clip_fraction        | 0.183       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 0.669       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0465     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0211     |
|    value_loss           | 0.000678    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 122         |
|    ep_rew_mean          | 0.208       |
| time/                   |             |
|    fps                  | 1144        |
|    iterations           | 7           |
|    time_elapsed         | 200         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.015117418 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.79       |
|    explained_variance   | 0.655       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00504    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0204     |
|    value_loss           | 0.000475    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 125         |
|    ep_rew_mean          | 0.197       |
| time/                   |             |
|    fps                  | 1125        |
|    iterations           | 8           |
|    time_elapsed         | 232         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.015521352 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.77       |
|    explained_variance   | 0.693       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0536     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0227     |
|    value_loss           | 0.000357    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 122         |
|    ep_rew_mean          | 0.196       |
| time/                   |             |
|    fps                  | 1108        |
|    iterations           | 9           |
|    time_elapsed         | 266         |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.015212836 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.76       |
|    explained_variance   | 0.637       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0192     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0203     |
|    value_loss           | 0.00038     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 125         |
|    ep_rew_mean          | 0.214       |
| time/                   |             |
|    fps                  | 1093        |
|    iterations           | 10          |
|    time_elapsed         | 299         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.015249273 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.74       |
|    explained_variance   | 0.696       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0023      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0212     |
|    value_loss           | 0.000335    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 125          |
|    ep_rew_mean          | 0.201        |
| time/                   |              |
|    fps                  | 1078         |
|    iterations           | 11           |
|    time_elapsed         | 334          |
|    total_timesteps      | 360448       |
| train/                  |              |
|    approx_kl            | 0.0155975055 |
|    clip_fraction        | 0.191        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.72        |
|    explained_variance   | 0.676        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0487      |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.021       |
|    value_loss           | 0.000392     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 122         |
|    ep_rew_mean          | 0.235       |
| time/                   |             |
|    fps                  | 1066        |
|    iterations           | 12          |
|    time_elapsed         | 368         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.016119706 |
|    clip_fraction        | 0.2         |
|    clip_range           | 0.2         |
