
Using cuda device
Logging to runs/7ftz3hl5/PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 253      |
|    ep_rew_mean     | 0.237    |
| time/              |          |
|    fps             | 4215     |
|    iterations      | 1        |
|    time_elapsed    | 7        |
|    total_timesteps | 32768    |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 250        |
|    ep_rew_mean          | 0.245      |
| time/                   |            |
|    fps                  | 1767       |
|    iterations           | 2          |
|    time_elapsed         | 37         |
|    total_timesteps      | 65536      |
| train/                  |            |
|    approx_kl            | 0.01741841 |
|    clip_fraction        | 0.161      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.88      |
|    explained_variance   | 0.478      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0363    |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0207    |
|    value_loss           | 0.0018     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 250         |
|    ep_rew_mean          | 0.251       |
| time/                   |             |
|    fps                  | 1506        |
|    iterations           | 3           |
|    time_elapsed         | 65          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.018182676 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.86       |
|    explained_variance   | 0.69        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0661     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0292     |
|    value_loss           | 0.000496    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 254         |
|    ep_rew_mean          | 0.22        |
| time/                   |             |
|    fps                  | 1385        |
|    iterations           | 4           |
|    time_elapsed         | 94          |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.019086588 |
|    clip_fraction        | 0.219       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.819       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.024      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0294     |
|    value_loss           | 0.000213    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.229       |
| time/                   |             |
|    fps                  | 1324        |
|    iterations           | 5           |
|    time_elapsed         | 123         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.020118214 |
|    clip_fraction        | 0.238       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | 0.858       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0392     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0322     |
|    value_loss           | 0.00012     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 250         |
|    ep_rew_mean          | 0.237       |
| time/                   |             |
|    fps                  | 1287        |
|    iterations           | 6           |
|    time_elapsed         | 152         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.021416858 |
|    clip_fraction        | 0.262       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.8        |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0667     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0326     |
|    value_loss           | 0.000124    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 250         |
|    ep_rew_mean          | 0.229       |
| time/                   |             |
|    fps                  | 1258        |
|    iterations           | 7           |
|    time_elapsed         | 182         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.021547258 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.78       |
|    explained_variance   | 0.896       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0223     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0318     |
|    value_loss           | 9.16e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 243         |
|    ep_rew_mean          | 0.246       |
| time/                   |             |
|    fps                  | 1240        |
|    iterations           | 8           |
|    time_elapsed         | 211         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.023193523 |
|    clip_fraction        | 0.272       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.77       |
|    explained_variance   | 0.884       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0727     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0335     |
|    value_loss           | 8.17e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 247         |
|    ep_rew_mean          | 0.216       |
| time/                   |             |
|    fps                  | 1222        |
|    iterations           | 9           |
|    time_elapsed         | 241         |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.022619829 |
|    clip_fraction        | 0.279       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.75       |
|    explained_variance   | 0.875       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0242     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.031      |
|    value_loss           | 0.000127    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 240         |
|    ep_rew_mean          | 0.225       |
| time/                   |             |
|    fps                  | 1207        |
|    iterations           | 10          |
|    time_elapsed         | 271         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.022783361 |
|    clip_fraction        | 0.268       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.73       |
|    explained_variance   | 0.961       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0404     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0333     |
|    value_loss           | 3.32e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 233         |
|    ep_rew_mean          | 0.222       |
| time/                   |             |
|    fps                  | 1194        |
|    iterations           | 11          |
|    time_elapsed         | 301         |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.024328934 |
|    clip_fraction        | 0.282       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.7        |
|    explained_variance   | 0.946       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0377     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0337     |
|    value_loss           | 4.91e-05    |
